"Package","Version","ReleaseDate"
"lru-cache","10.4.3","2024-07-09T17:20:52.211Z"
"package-json-from-dist","1.0.1","2024-09-26T18:59:08.941Z"
"jackspeak","3.4.3","2024-07-10T15:50:20.040Z"
"foreground-child","3.3.1","2025-02-24T16:47:52.413Z"
"signal-exit","4.1.0","2023-07-29T05:44:56.721Z"
"exit-x","0.2.2","2024-12-04T14:22:55.906Z"
"path-is-inside","1.0.2","2016-09-10T23:35:10.802Z"
"which-module","1.0.0","2016-06-06T05:54:13.093Z"
"set-blocking","2.0.0","2016-05-17T22:59:27.619Z"
"fs-monkey","1.1.0","2025-07-18T19:02:32.313Z"
"assign-symbols","1.0.0","2017-12-19T22:45:34.190Z"
"yocto-queue","0.1.0","2020-11-24T06:05:35.875Z"
"require-directory","2.1.1","2015-05-28T08:31:04.702Z"
"get-caller-file","2.0.5","2019-03-09T21:48:30.527Z"
"fastparse","1.1.2","2018-10-30T14:35:38.125Z"
"css-selector-tokenizer","0.7.3","2020-07-21T12:39:40.334Z"
"has-ansi","2.0.0","2015-06-30T16:17:34.067Z"
"ansi-regex","2.1.1","2017-01-14T03:09:39.887Z"
"unicorn-magic","0.3.0","2024-07-25T16:24:34.405Z"
"@sindresorhus/merge-streams","2.3.0","2024-02-19T13:27:38.210Z"
"number-is-nan","1.0.1","2016-09-30T05:11:53.609Z"
"code-point-at","1.1.0","2016-11-03T10:43:00.563Z"
"typewise-core","1.2.0","2015-05-13T01:29:47.819Z"
"typewise","1.0.3","2015-06-19T21:12:47.670Z"
"bytewise-core","1.2.3","2015-06-19T21:17:59.646Z"
"sort-desc","0.2.0","2015-07-18T00:44:14.138Z"
"sort-asc","0.2.0","2015-07-18T00:43:17.190Z"
"bytewise","1.1.0","2015-06-19T21:14:19.988Z"
"sort-object","3.0.3","2019-09-19T04:15:00.377Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"tsutils","3.21.0","2021-03-07T17:26:32.170Z"
"tslib","1.14.1","2020-10-09T23:34:42.516Z"
"@types/mime","1.3.5","2023-11-07T20:26:14.364Z"
"posix-character-classes","0.1.1","2017-04-20T04:42:56.382Z"
"expand-brackets","2.1.4","2016-12-12T19:23:10.778Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"ms","2.0.0","2017-05-16T12:26:06.610Z"
"extend-shallow","2.0.1","2015-07-16T23:28:36.775Z"
"debug","2.6.9","2017-09-22T13:32:35.541Z"
"nanomatch","1.2.13","2018-06-27T13:02:41.391Z"
"is-descriptor","1.0.3","2023-10-27T01:22:20.533Z"
"kind-of","6.0.3","2020-01-16T16:59:19.808Z"
"extend-shallow","3.0.2","2017-12-20T19:11:38.344Z"
